election,year,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Presidential Election,2011,Cork East ,Independent,Dana Rosemary Scallon,1,45462,82731,45462,44953,509,"[1348, -1348, 0, 0]","[1348, 0, 0, 0]"
Presidential Election,2011,Cork East ,Independent,Mary Davis,1,45462,82731,45462,44953,509,"[923, 0, 0, 0]","[923, 923, 923, 923]"
Presidential Election,2011,Cork North–Central ,Independent,Sean Gallagher,2,41602,75622,41602,41026,576,"[11526, 447, 363, 2015]","[11526, 11973, 12336, 14351]"
Presidential Election,2011,Cork North–Central ,Labour Party,Michael D. Higgins,2,41602,75622,41602,41026,576,"[15427, 472, 1199, 5462]","[15427, 15899, 17098, 22560]"
Presidential Election,2011,Cork North–Central ,Sinn Féin,Martin McGuinness,2,41602,75622,41602,41026,576,"[8201, 206, 298, -8705]","[8201, 8407, 8705, 0]"
Presidential Election,2011,Cork North–Central ,Fine Gael,Gay Mitchell,2,41602,75622,41602,41026,576,"[1911, 274, 128, 0]","[1911, 2185, 2313, 2313]"
Presidential Election,2011,Cork North–Central ,Independent,David Norris,2,41602,75622,41602,41026,576,"[2090, 145, -2235, 0]","[2090, 2235, 0, 0]"
Presidential Election,2011,Cork North–Central ,Independent,Dana Rosemary Scallon,2,41602,75622,41602,41026,576,"[1178, -1178, 0, 0]","[1178, 0, 0, 0]"
Presidential Election,2011,Cork North–Central ,Independent,Mary Davis,2,41602,75622,41602,41026,576,"[693, 0, 0, 0]","[693, 693, 693, 693]"
Presidential Election,2011,Cork North–West ,Independent,Sean Gallagher,3,37784,62113,37784,37413,371,"[14362, 432, 335, 1568]","[14362, 14794, 15129, 16697]"
Presidential Election,2011,Cork North–West ,Labour Party,Michael D. Higgins,3,37784,62113,37784,37413,371,"[12836, 441, 750, 4486]","[12836, 13277, 14027, 18513]"
Presidential Election,2011,Cork North–West ,Sinn Féin,Martin McGuinness,3,37784,62113,37784,37413,371,"[4329, 141, 168, -4638]","[4329, 4470, 4638, 0]"
Presidential Election,2011,Cork North–West ,Fine Gael,Gay Mitchell,3,37784,62113,37784,37413,371,"[2836, 266, 82, 0]","[2836, 3102, 3184, 3184]"
Presidential Election,2011,Cork North–West ,Independent,David Norris,3,37784,62113,37784,37413,371,"[1380, 110, -1490, 0]","[1380, 1490, 0, 0]"
Presidential Election,2011,Cork North–West ,Independent,Dana Rosemary Scallon,3,37784,62113,37784,37413,371,"[1109, -1109, 0, 0]","[1109, 0, 0, 0]"
Presidential Election,2011,Cork North–West ,Independent,Mary Davis,3,37784,62113,37784,37413,371,"[561, 0, 0, 0]","[561, 561, 561, 561]"
Presidential Election,2011,Cork South–Central ,Independent,Sean Gallagher,6,53710,91716,53710,53048,662,"[13224, 605, 574, 1995]","[13224, 13829, 14403, 16398]"
Presidential Election,2011,Cork South–Central ,Labour Party,Michael D. Higgins,6,53710,91716,53710,53048,662,"[23861, 740, 2010, 6026]","[23861, 24601, 26611, 32637]"
Presidential Election,2011,Cork South–Central ,Sinn Féin,Martin McGuinness,6,53710,91716,53710,53048,662,"[7496, 196, 377, -8069]","[7496, 7692, 8069, 0]"
Presidential Election,2011,Cork South–Central ,Fine Gael,Gay Mitchell,6,53710,91716,53710,53048,662,"[2488, 394, 243, 0]","[2488, 2882, 3125, 3125]"
Presidential Election,2011,Cork South–Central ,Independent,David Norris,6,53710,91716,53710,53048,662,"[3423, 202, -3625, 0]","[3423, 3625, 0, 0]"
Presidential Election,2011,Cork South–Central ,Independent,Dana Rosemary Scallon,6,53710,91716,53710,53048,662,"[1476, -1476, 0, 0]","[1476, 0, 0, 0]"
Presidential Election,2011,Cork South–Central ,Independent,Mary Davis,6,53710,91716,53710,53048,662,"[1080, 0, 0, 0]","[1080, 1080, 1080, 1080]"
Presidential Election,2011,Cork South–West ,Independent,Sean Gallagher,8,35941,60248,35941,35571,370,"[12449, 481, 274, 1844]","[12449, 12930, 13204, 15048]"
Presidential Election,2011,Cork South–West ,Labour Party,Michael D. Higgins,8,35941,60248,35941,35571,370,"[12047, 512, 912, 4553]","[12047, 12559, 13471, 18024]"
Presidential Election,2011,Cork South–West ,Sinn Féin,Martin McGuinness,8,35941,60248,35941,35571,370,"[4608, 168, 167, -4943]","[4608, 4776, 4943, 0]"
Presidential Election,2011,Cork South–West ,Fine Gael,Gay Mitchell,8,35941,60248,35941,35571,370,"[3035, 318, 120, 0]","[3035, 3353, 3473, 3473]"
Presidential Election,2011,Cork South–West ,Independent,David Norris,8,35941,60248,35941,35571,370,"[1534, 100, -1634, 0]","[1534, 1634, 0, 0]"
Presidential Election,2011,Cork South–West ,Independent,Dana Rosemary Scallon,8,35941,60248,35941,35571,370,"[1128, -1128, 0, 0]","[1128, 0, 0, 0]"
Presidential Election,2011,Cork South–West ,Independent,Mary Davis,8,35941,60248,35941,35571,370,"[770, 0, 0, 0]","[770, 770, 770, 770]"
Presidential Election,2011,Donegal North–East ,Independent,Sean Gallagher,9,28582,58579,28582,28254,328,"[7978, 661, 183, 2644]","[7978, 8639, 8822, 11466]"
Presidential Election,2011,Donegal North–East ,Labour Party,Michael D. Higgins,9,28582,58579,28582,28254,328,"[6516, 519, 401, 4159]","[6516, 7035, 7436, 11595]"
Presidential Election,2011,Donegal North–East ,Sinn Féin,Martin McGuinness,9,28582,58579,28582,28254,328,"[9085, 541, 123, -9749]","[9085, 9626, 9749, 0]"
Presidential Election,2011,Donegal North–East ,Fine Gael,Gay Mitchell,9,28582,58579,28582,28254,328,"[1384, 245, 73, 0]","[1384, 1629, 1702, 1702]"
Presidential Election,2011,Donegal North–East ,Independent,David Norris,9,28582,58579,28582,28254,328,"[788, 123, -911, 0]","[788, 911, 0, 0]"
Presidential Election,2011,Donegal North–East ,Independent,Dana Rosemary Scallon,9,28582,58579,28582,28254,328,"[1905, -1905, 0, 0]","[1905, 0, 0, 0]"
Presidential Election,2011,Donegal North–East ,Independent,Mary Davis,9,28582,58579,28582,28254,328,"[598, 0, 0, 0]","[598, 598, 598, 598]"
Presidential Election,2011,Donegal South–West ,Independent,Sean Gallagher,8,31068,64158,31068,30716,352,"[9912, 683, 181, 2619]","[9912, 10595, 10776, 13395]"
Presidential Election,2011,Donegal South–West ,Labour Party,Michael D. Higgins,8,31068,64158,31068,30716,352,"[7093, 542, 467, 4256]","[7093, 7635, 8102, 12358]"
Presidential Election,2011,Donegal South–West ,Sinn Féin,Martin McGuinness,8,31068,64158,31068,30716,352,"[8738, 420, 141, -9299]","[8738, 9158, 9299, 0]"
Presidential Election,2011,Donegal South–West ,Fine Gael,Gay Mitchell,8,31068,64158,31068,30716,352,"[1620, 246, 93, 0]","[1620, 1866, 1959, 1959]"
Presidential Election,2011,Donegal South–West ,Independent,David Norris,8,31068,64158,31068,30716,352,"[916, 119, -1035, 0]","[916, 1035, 0, 0]"
Presidential Election,2011,Donegal South–West ,Independent,Dana Rosemary Scallon,8,31068,64158,31068,30716,352,"[1777, -1777, 0, 0]","[1777, 0, 0, 0]"
Presidential Election,2011,Donegal South–West ,Independent,Mary Davis,8,31068,64158,31068,30716,352,"[660, 0, 0, 0]","[660, 660, 660, 660]"
Presidential Election,2011,Dublin Central ,Independent,Sean Gallagher,0,28236,54500,28236,27885,351,"[4577, 306, 409, 1171]","[4577, 4883, 5292, 6463]"
